state,abbreviation,year,lat,lng,population,raw_need_score,need_index,ami,smi,mde_adult,mde_youth,suicide_rate,substance_use_disorder,public_mh_spending_per_capita,predicted_public_mh_spending_per_capita,funding_gap_per_capita,funding_gap_score,medicaid_share_of_public_mh,provider_density_per_100k,medicaid_expansion_status,medicaid_expansion_label,financing_status
West Virginia,WV,2017,38.5,-80.9,1770071,3.2603,84.6,28.11,8.01,11,20.32,18.6,17.19,365.49,377.41,-11.92,-0.98,46.6,182.6,1,Expansion,Modeled fallback
Wisconsin,WI,2017,44.3,-89.6,5910726,0.0407,49.8,24.55,6.4,8.85,16.42,15,18.84,364.65,355.84,8.81,0.72,49.9,220.3,0,Non-expansion,Modeled fallback
Wyoming,WY,2017,42.8,-107.3,576851,1.8133,68.9,24.67,7.38,9.52,18.43,26.3,17.6,357.13,367.68,-10.55,-0.86,47,186.5,0,Non-expansion,Modeled fallback
Alabama,AL,2018,32.8,-86.8,5108468,-0.4189,44.8,23.02,6.12,8.64,17.6,16.8,16.2,345.27,370.59,-25.32,-2.03,47.6,92.6,0,Non-expansion,Modeled fallback
Alaska,AK,2018,64.2,-152.5,733406,0.4338,54,24.04,6.67,8.63,15.28,28.2,18.33,375.02,376.57,-1.55,-0.12,47.1,213.1,1,Expansion,Modeled fallback
Arizona,AZ,2018,33.7,-111.4,7431344,0.454,54.3,24.6,6.46,9.39,16.78,19.2,17.58,372.61,376.77,-4.16,-0.33,47.9,194.9,1,Expansion,Modeled fallback
Arkansas,AR,2018,34.8,-92.4,3067732,1.5326,65.9,26.55,6.66,9.91,18.33,20.2,17.31,367.7,384.31,-16.61,-1.33,47.6,150.1,1,Expansion,Modeled fallback
California,CA,2018,36.1,-119.7,39029342,-2.6035,21.3,21.63,4.76,7.34,15.83,10.2,16.65,369.74,355.32,14.42,1.16,47.4,254.9,1,Expansion,Modeled fallback
Colorado,CO,2018,39,-105.3,5773714,2.5401,76.8,26.36,6.98,9.58,19.24,20.9,22.37,403.14,391.39,11.75,0.94,52.1,276.1,1,Expansion,Modeled fallback
Connecticut,CT,2018,41.6,-72.7,3626205,-1.0023,38.6,23.74,5.53,8.29,17.49,9.1,17.53,380.13,366.56,13.57,1.09,50.7,258.8,1,Expansion,Modeled fallback
